,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,Tags,ClosedDate,label,length
10,64,101,10427,a lot of people  has_external_tag  makefiles that say something like paper.pdf: paper.tex pdflatex paper  has_external_tag  paper pdflatex paper pdflatex paper to handle re-running tex to get new/changed references and so forth. is there a better way to do this?,Tools for automating document compilation,24,6,,60.0,2010-07-26 19:52:45,<compiling><automation><tools><big-list><makefile>,,1,351
11,66,67,2435,"this is a community wiki since there is no ""one true answer""-  has_external_tag  you find an answer that contains a lot of your choices, but is missing something you feel is incredibly useful. feel free to add it. a short  has_external_tag  of what topics the reference  has_external_tag  would be nice as well. organize by subject please. for example: i always keep the following  has_external_tag s at my fingertips. document layout the  has_external_tag  manual:  has_external_tag , in exquisite detail, how to produce just about any document using the  has_external_tag  latex class. ( has_external_tag  4.5 mb) mathematical typesetting math mode: a document by herbert voß that explains how to typeset just about any mathematical expression in latex. ( has_external_tag  2mb)  has_attached_tag  the pgf manual: explains, with  has_external_tag , how to draw just about any figure using pgf/tikz. also a good example of what awesome  has_external_tag  should look like. ( has_external_tag  3.8mb)","Which manuals are on your ""TeX Reference"" shelf?",16,4,,17.0,2010-07-26 19:53:11,<books><documentation>,,1,1544
12,80,304,114666," has_external_tag  you have a tex'ed  has_external_tag , did you use a template or make your own? are there any useful  has_external_tag ? what looks the most professional? how about special considerations for d has_external_tag ferent areas of work (e.g. in academia)?",LaTeX template for resume/curriculum vitae,27,1,,8.0,2010-07-26 19:57:10,<packages><templates><resume>,,1,227
13,100,55,4420,"is there something like indent for latex? i have a collaborator that is using scientific workplace and the  has_external_tag  it produces is totally messed up; i know i shouldn't expect miracles, but any machine support would be useful. edit: this question is quite undefined without my comment to keithb's answer; the idea is to save vc-friendly one sentence/one paragraph per text file line structure which swt ""fixes"" by wrapping everything into fixed column  has_external_tag  format.",Tool for cleaning LaTeX code,5,9,1488.0,7.0,2010-07-26 20:05:44,<tools><sourcecode><cleanup>,,1,502
14,138,63,26024,"often, tex outputs underfull hbox and vbox  has_external_tag  when running and in the generated log file. what are these and how can i get rid of them?",What are underfull hboxes and vboxes and how can I get rid of them?,3,2,156.0,87.0,2010-07-26 20:35:43,<line-breaking><boxes><warnings>,,1,153
15,142,88,61658,"sometimes, i want to have  has_external_tag   has_external_tag  in latex start at other than the first value (1, a, i, etc.) how can i make an  has_external_tag  list start at an arbitrary value?",How can I make an enumerate list start at something other than 1?,3,0,149.0,93.0,2010-07-26 20:42:10,<lists><numbering><enumerate>,,1,176
16,143,54,19286,"when working with  has_external_tag , manually transferring the citation information for articles, prooceedings,  has_external_tag , etc. can be a tedious work. some  has_external_tag  sites provide citations in  has_external_tag  format. what are your favorite sites to get  has_external_tag  citations of your used references?",What are good sites to find citations in BibTex format?,21,6,207.0,46.0,2010-07-26 20:43:36,<bibtex>,,1,310
17,161,94,6213,"i use revision control ( has_external_tag , to be exact) to keep track of the edits to my latex documents. is there a latex package that  has_external_tag  with revision control? specifically, it would be nice to see the revision number and time and date inside the document. (obviously, i'd turn this off in the final version.) also, it might be nice to get a  has_external_tag  showing what was added and removed in a given revision.",LaTeX packages for use with revision control,12,0,169.0,52.0,2010-07-26 21:00:35,<packages><tools><automation><revision-control>,,1,416
18,165,51,9255,"latex documents print beautifully, but images often looks ""ugly"", "" has_external_tag "" or ""low-res"" compared to the text. by images i don't mean photos, which i rarely use, but rather  has_external_tag ,  has_external_tag  and drawings made in other programs such as visio,  has_external_tag  and photoshop. i would love for these to look just as good as the rest of the  has_external_tag  when printed.",How do I insert an image in LaTeX so it looks good on print?,4,1,202.0,121.0,2010-07-26 21:05:00,<graphics><diagrams><printing>,,1,359
19,196,71,71377,"i want to  has_external_tag  a list of related  has_external_tag , say, for a proof, in my latex document. as far as i know, i have two good  has_external_tag , eqnarray and  has_external_tag . what is the difference between them, and how do i know which i should be using? or does it not matter at all?",eqnarray vs align,5,0,197.0,70.0,2010-07-26 22:13:43,<align><equations>,,1,297
20,227,67,18983,i want to add a footer to my document displaying the current number out of total number of pages. how do i do that?,"How can I add ""page # of ##"" on my document?",7,0,235.0,62.0,2010-07-27 00:23:49,<header-footer><page-numbering><lastpage>,,1,127
21,232,68,5487,"i imagine that many users are or were [phd] students, so i would like to know: how do you use latex to  has_external_tag  a document (like the final dissertation) that requires many revisions from other people. when i work with my professor, i usually send him a  has_external_tag  generated by latex and the  has_external_tag   has_external_tag . he then uses a process like such: define some  has_external_tag  for his commentaries or additions to the text \usepackage{x has_external_tag } ... \define{\profsmith}[1]{{\ has_external_tag {red} #1}} ... lorem ipsum \profsmith{not very clever} he sends me his  has_external_tag  and i check his observations, marking my  has_external_tag  with another \define repeat until everyone is satisfied for final  has_external_tag  comment defines and replace for \define{\profsmith}[1]{#1} so yes, it is a bit cumbersome. i have tried margin  has_external_tag , but space is limited and sometimes the professor's correction are inside some phrases or  has_external_tag . i also thought about version control differences (like svn,  has_external_tag , etc), but my chances are low: everyone but me uses a one-liner for each paragraph. in consequence, i have a hard time checking these differences. what do you guys [would] use in this case? any other ideas or  has_external_tag ?",How can you use LaTeX to write a document with other people?,10,2,249.0,146.0,2010-07-27 00:34:16,<revision-control><notes><collaboration>,,1,1404
22,246,381,151928,"there are two different commands to incorporate another file into the  has_external_tag  of some document, \input and \include. when should i use one or the other? what are the differences between them? are there more things like them to be aware of?",When should I use \input vs. \include?,4,1,250.0,60.0,2010-07-27 00:55:35,<include><input>,,1,276
23,258,81,14358,what is the difference between the \let and \def commands in tex/latex? ideally please provide a simple example that will illustrate the difference between them.,What is the difference between \let and \def?,3,0,318.0,136.0,2010-07-27 01:59:18,<macros><tex-core>,,1,216
24,265,67,33948,how can i make text that is larger than the  has_external_tag  of the  has_external_tag  of {\huge ...}? i would like to be able to make text arbitrarily large (even  has_external_tag  that is done by some suboptimal  has_external_tag  routine).,Fonts larger than \Huge?,8,0,269.0,136.0,2010-07-27 03:49:40,<fontsize>,,1,234
25,268,61,39387,"when trying to  has_external_tag  an e-mail address, there are always problems with the @ sign. solutions i've seen suggested are using some  has_external_tag  environment (more difficult in  has_external_tag ) and using a  has_external_tag  @. what is the correct way to do this?",What's the best way to write e-mail addresses?,8,2,276.0,135.0,2010-07-27 04:02:43,<symbols><addresses>,,1,292
26,279,69,11549,"often  has_external_tag  may land quite a bit later in the document than the point they are created, sometimes after a section break. is there a way to force a new section to start on a new page, after any unplaced  has_external_tag ?",How do I ensure that figures appear in the section they're associated with?,2,1,282.0,77.0,2010-07-27 05:29:31,<sectioning><floats><positioning><page-breaking><sections-paragraphs>,,1,238
27,308,58,5723,"i want to define a command that expands to two completely different things depending on whether i supply, or not, an optional argument. for example, \mycmd{normal} -> something(normal) \mycmd[optional]{normal} -> anotherthing(normal, optional) how can i do this?",Different command definitions with and without optional argument,5,2,63041.0,169.0,2010-07-27 07:58:11,<macros><optional-arguments>,,1,352
28,312,73,26269,"how do i set the  has_external_tag  (~) character correctly in latex? there’s a question discussing that on  has_external_tag  overflow, with a lot of  has_external_tag . but dare i say it? they all suck: \textascii has_external_tag  is too high, \text has_external_tag low is too low. $\sim$ can be tweaked to look more or less acceptable: {\raise.17ex\hbox{$\scriptstyle\sim$}} – but even that is a hack and uses the wrong symbol. the point is – the  has_external_tag  character is definitely an existing glyph in any font i am tempted to use. how can i just access and typeset that character, please? without resorting to some other, similar-looking glyph that first needs to be nudged into place using a cunning combination of font  has_external_tag  and raised  has_external_tag ? there must be a possibility to access that glyph directly from the font definition. to demonstrate, look at this screenshot which attempts simply to display a c++ destructor of a type t (~t): compare this with the symbol we get in the browser: ~ – that’s what i want.",Correctly typesetting a tilde,8,0,317.0,42.0,2010-07-27 08:20:18,<tilde><symbols>,,1,1433
29,326,53,21854,"aside from  has_external_tag , what are good resources/repositories for latex  has_external_tag ? in particular, i'm looking for some pretty  has_external_tag   has_external_tag  (i'm familiar with  has_external_tag )",LaTeX templates for writing a thesis,13,4,,171.0,2010-07-27 09:24:14,<templates><big-list><thesis><resources><repositories>,,1,180
30,329,51,41615,"i want to use a smaller font  has_external_tag  for the bibliography, e.g., \footnote has_external_tag . what is the easiest way to achieve this? i currently do \renewenvironment{thebibliography}... and copy the definition from report.cls but with the \footnote has_external_tag  inserted in. however, that seems to be a bit of a hack, so i'm looking for a cleaner way.",How to change font size for bibliography?,4,2,343.0,79.0,2010-07-27 09:47:34,<bibliographies><fontsize>,,1,365
31,337,75,44224,"how can i change some pages into document into  has_external_tag  mode, while leaving the others in portrait mode (or vice versa)?",How to change certain pages into landscape/portrait mode,2,2,,183.0,2010-07-27 10:42:59,<landscape>,,1,133
32,339,385,147638,"what editors/ides are available for easing the process of writing tex/latex documents? please state some useful features like  has_external_tag  completion, spell checking, building final  has_external_tag  or  has_external_tag   has_external_tag , etc. this question is undergoing a systematic refurbishment, see let’s polish the editors/ides question on meta.  has_external_tag  you’d like to see another editor feature covered here or to take care of an editor that’s not covered yet, share your ideas in that meta question.",LaTeX Editors/IDEs,40,5,,183.0,2010-07-27 10:50:20,<editors><big-list><ide>,,1,613
33,341,195,45613,i want to create  has_external_tag  for my poster presentation on a conference. what  has_external_tag  or latex classes are available for preparing  has_external_tag  ?,How to create posters using LaTeX,11,15,,183.0,2010-07-27 10:56:59,<document-classes><big-list><posters>,,1,146
34,349,58,8035,i understand that some  has_external_tag  (like  has_external_tag ) can't be used with pdflatex. are there any other d has_external_tag ferences between these  has_external_tag ? can we say that pdflatex is better  has_external_tag  we don't care about  has_external_tag ?,What is the practical difference between latex and pdflatex?,8,1,358.0,69.0,2010-07-27 11:14:42,<pdftex><compiling>,,1,225
35,383,54,40531,"the images in my paper are in  has_external_tag  format.  has_external_tag  i execute  has_external_tag latex to get a  has_external_tag  version of my paper, the figures won't appear. i have to typeset using the latex command, and then convert the  has_external_tag  file to  has_external_tag  using  has_external_tag . why doesn't  has_external_tag latex support  has_external_tag  figures?",Why can't pdflatex print EPS figures?,6,2,388.0,165.0,2010-07-27 14:49:06,<graphics><pdftex><eps>,,1,342
36,451,95,16576,"i'm quite happy hacking tex  has_external_tag  and cobbling together bits and pieces from d has_external_tag ferent style  has_external_tag  to suit my own ends, but i have a suspicion that my resulting hacks are not quite as elegant as they could be. in particular, with regard to when to expand and when not to expand  has_external_tag . a common occurrence for me is defining a meta-command that defines a whole slew of sub-commands. so the names of the sub-commands will contain  has_external_tag  depending on the parameter passed to the meta-command, and the contents of the sub-commands will also vary a little depending on what the meta-command got. often it won't be a direct  has_external_tag  but rather a "" has_external_tag  #1 is 'a' do \this else do \that"", but \this and \that need  has_external_tag  at define time, not call time. here's a very simple example just involving direct  has_external_tag : \def\cohtheory#1{ \expandafter\newcommand\expandafter{\csname #1func\endcsname}[1][*]{% \makeuppercase{#1}^{##1}} } sometimes i worry that my commands are more complicated than they need be. for example,  has_external_tag  i want to call a command with two arguments and the arguments expand before the command, here's how i've coded it: \expandafter \expandafter \expandafter \command\expandafter \expandafter \expandafter {\expandafter \argone \expandafter }\expandafter {\argtwo} so i'm looking for guidance on when and how to control  has_external_tag  in defining  has_external_tag . i strongly suspect that such cannot be given in a simple answer, so to make this a focussed question, let me phrase it thus: where's a good reference for writing tex  has_external_tag  that includes advice on how to best deal with how to handle  has_external_tag s? of course,  has_external_tag  anyone can formulate some advice in short answer, i'd be only to happy to read it. (note: this was partially motivated by juannavarroperez's adaptation of my answer to this question where over 20 \expandafters got condensed down to just 1!)","When to use \edef, \noexpand, and \expandafter?",4,5,519.0,86.0,2010-07-28 10:49:14,<macros><tex-core><expansion>,,1,2430
37,452,58,7690,"i often create pictures in tikz that i want to either send to someone, or  has_external_tag  in an email. the problem with that is that there is a big white space around and and especially below my pictures. to get around this, i usually print  has_external_tag  my figure and  has_external_tag  it to get the  has_external_tag  i want. another solution is to use  has_external_tag  and then  has_external_tag  to make the figure as big as the slide  has_external_tag . those two solutions, though, are not all that good. what i would really like is a way to get the  has_external_tag  file to be just as big as my picture, as  has_external_tag  it was  has_external_tag ped from start. is there a package to do that?",How can I create a pdf document exactly as big as my tikz picture?,5,0,458.0,14.0,2010-07-28 10:50:15,<tikz-pgf><paper-size>,,1,628
38,498,63,33667,"what's the difference between the different vertical bars? $s = \{\, x \mid x \not= 17 \,\}$ $a \vert b$ implies $a \leq b$ when $b \ne 0$ $a|b$ implies $a \leq b$ when $b \ne 0$ $\lvert x \rvert$ is always non-negative are all of these uses correct?","\mid, | (vertical bar), \vert, \lvert, \rvert, \divides",4,4,506.0,9.0,2010-07-28 17:58:47,<math-mode><symbols>,,1,426
39,503,216,15061,"i've heard that you should use \[ ... \] for displayed  has_external_tag  instead of $$ ... $$, but why is that? i'd assumed that it's so that you can more easily tell which are starting and which are ending  has_external_tag , but  has_external_tag  i always use a syntax-highlighting text editor, i can see that easily based on the  has_external_tag  of the  has_external_tag . is there any reason for this suggestion?",Why is \[ ... \] preferable to $$ ... $$?,8,6,508.0,9.0,2010-07-28 18:33:26,<math-mode><equations><syntax>,,1,434
40,510,146,7431,"along the lines of why is \[ ... \] preferable to $$?, what reasons are there ( has_external_tag  any) to favor \( ... \) over $ ... $?",Are \( and \) preferable to dollar signs for math mode?,8,2,513.0,206.0,2010-07-28 18:50:31,<math-mode><best-practices><syntax>,,1,240
41,516,66,12091,"i typically use \textit{some italicized text} while some of my colleagues use {\it some other text} should i bother changing one or the other, or does it matter?","Does it matter if I use \textit or \it, \bfseries or \bf, etc",3,0,520.0,16.0,2010-07-28 19:47:19,<fonts><formatting><best-practices><obsolete>,,1,283
42,528,81,20518,what are some good  has_external_tag  on writing custom styles (classes) that clearly explain commands used and some of the features that tex has to offer in the way of styles?,Style/class tutorials,6,13,930.0,142.0,2010-07-28 21:59:36,<package-writing><tutorials><documentclass-writing>,,1,196
43,534,140,46675,"often assignments (or even papers) have a word count limit. that is not a big deal when using word, but i don't know how to do that using latex. my solution has been so far to compile the document and then do a rough word count of my  has_external_tag  file, sometimes even copying the contents of the  has_external_tag  file and pasting in word to get a mostly correct word count. is there any tool (maybe even an  has_external_tag  tool), package, script or software to do that directly from my .tex document and still get the right word count (i.e., ignore commands,  has_external_tag , etc)?",Is there any way to do a correct word count of a LaTeX document?,17,5,536.0,14.0,2010-07-29 00:10:02,<packages><compiling><word-count><scripts>,,1,572
44,538,75,7862,"..and i don't mean finding out why it doesn't compile, i mean serious  has_external_tag : breakpoints, figuring out value of variables at a given moment during run/compile, stepping, examining a  has_external_tag  (is there one?), etc. all the things that we take for granted when  has_external_tag  a ""real""  has_external_tag  language. since tex is ""turing-complete"", i would like to be able to really see what is going on internally. i'm guessing that a gui interface for the debugger would be too much to ask, but  has_external_tag  it exists, i'd love to hear about it.",How to best debug LaTeX?,2,0,548.0,117.0,2010-07-29 01:44:41,<tools><debugging>,,1,549
45,553,256,26689,"i'm getting the impression from reading the  has_external_tag  written by some of the real experts here that there are quite a few little  has_attached_tag  that just tweak latex2e's default behaviour a little to make it more sensible here and there. rather than try to pick these up one by one as i read  has_external_tag  to questions (and thus risk missing them), i thought i'd ask up front what latex2e  has_attached_tag  people load by default in (almost) every document. as this is a ""big list"" question, i'm making it cw. i don't know  has_external_tag  there are standard  has_external_tag  across all se/so sites for such questions, but on mathoverflow the rule is generally: one thing (in this case, package) per answer. i guess that  has_external_tag  a couple of  has_attached_tag  really do go together then it would be fine to group them. this is perhaps a little  has_external_tag  and a little close to the line, so i'll not be offended  has_external_tag  it gets closed or voted down! (but please explain why in the  has_external_tag .) also see our community poll question: “i have used the following  has_attached_tag  / classes”",What packages do people load by default in LaTeX?,55,6,,86.0,2010-07-29 08:53:13,<packages><big-list>,,1,1179
46,577,62,2554,"what  has_external_tag  ( has_external_tag  or otherwise) exist that give good advice on best practices for tex, etc.? i'm looking particularly for things that assume you already know tex or latex, and aim to help you achieve better results, with rationales explained.  has_external_tag  with some spec has_external_tag ic focus are welcome. i'll start a list with two suggestions of my own so you can see what i mean. somewhat to my surprise i haven't found this question asked here already. (please point me to it  has_external_tag  i'm wrong!) note that what i'm asking is somewhat d has_external_tag ferent from what is the best book to start  has_external_tag  latex? and what are other good  has_external_tag  on-line for information about tex, latex and friends?, although there's lots of room for overlapping  has_external_tag .",Best practices references,12,0,585.0,206.0,2010-07-29 15:11:46,<best-practices><documentation><big-list>,,1,1009
47,595,89,118007,"to make latin-letter variables  has_external_tag  i can use e.g. \mathbf{a}, but while putting  has_external_tag   has_external_tag  or  has_external_tag  such as \nabla inside \mathbf doesn't cause any  has_external_tag  or  has_external_tag , it also doesn't do anything else. what is the best way to make  has_external_tag  math  has_external_tag , in particular  has_external_tag   has_external_tag  and \nabla?",How can I get bold math symbols?,6,1,596.0,32.0,2010-07-29 17:37:34,<fonts><math-mode><symbols><bold>,,1,392
48,655,134,24565,"inspired by a question about \let and \def, i have some that essentially all boil down to asking what are the differences between \def and \newcommand? in particular, i wonder is it possible to have  has_external_tag  passed to \defed commands, both optional and required? is there a \redef command equivalent to \renewcommand? i have only ever used \newcommand -- is there any reason i should change that habit? but i welcome  has_external_tag  on anything else i may not have thought of in this list!",What is the difference between \def and \newcommand?,5,4,658.0,32.0,2010-07-30 15:27:08,<macros>,,1,882
49,664,190,54247,"as a native english speaker, i've mostly been allowed the luxury of pretending that ascii is enough, and have been able to treat font encodings as not my problem. i've seen lots of advice that i ought to  has_external_tag  \usepackage[t1]{fontenc} in my  has_external_tag . (see, for instance, p. 337 of the latex companion.) what isn't really adequately explained is why i ought to do so. so,  has_external_tag  i am writing in english and have to make only occasional use of things like g\""odel, what does following the advice really get me?",Why should I use \usepackage[T1]{fontenc}?,2,2,677.0,93.0,2010-07-30 17:37:41,<packages><font-encodings>,,1,788
50,674,51,14878,"i am submitting a paper to a conference that has a limit of 10 pages. i have edited and edited the text, but the paper still fills 11 pages, and i am reluctant to remove anything. what tricks can i use to make the paper  has_external_tag  in 10 pages? i know about \vspace{-1mm}, but are other and better tricks? how can i squeeze a little bit between lines, around the elements produced by \maketitle, around headlines, etc. in a way that is consistent and does not look too ugly? is it possible to reduce the font  has_external_tag  from 11 points to, say, 10.9? (this should be community wiki, but i don't have enough rep yet.)",Squeezing scientific paper to fit within page limits,16,8,,35.0,2010-07-30 18:52:44,<spacing>,,1,664
51,686,55,5814,"when creating  has_external_tag  in  has_external_tag , those little  has_external_tag  that you can click on and will take you to different  has_external_tag  of your presentation are automatically included on your slides. i don't like that, but decided not to try and change it for now. the problem is that when i gave my presentation to my supervisor to revise, the first thing he did was cross the  has_external_tag  out in red,  has_external_tag : take this out! what should i do? is there an easy command to get rid of those  has_external_tag  or do i have to change the theme of my presentation to get rid of the  has_external_tag ?",How to get rid of navigation symbols in beamer?,2,4,692.0,14.0,2010-07-30 20:37:34,<beamer><symbols><navigation>,,1,598
52,736,98,17913,"what's the d has_external_tag ference? i know that \pagebreak can take an optional argument that spec has_external_tag ies how much a page break is desired, but is there any d has_external_tag ference  has_external_tag  the optional argument is not used?",\pagebreak vs \newpage,3,0,740.0,9.0,2010-07-31 19:56:09,<vertical-alignment><page-breaking>,,1,215
53,782,143,102905,"some of the available classes of documents in latex are well known and widely used, such as the  has_external_tag  and  has_external_tag  classes, while others are not so well known, such as the  has_external_tag  class. i found this figure which  has_external_tag  the main classes and is a good starting point, but the  has_external_tag  is too short and still leaves one wondering when it would be more suitable to choose one class over the other and what the characteristics of each class is. furthermore, the list is not exhaustive i think, given that i know at least one more document class that is not there (the  has_external_tag  class, as i mentioned). so my question is: what are the available classes of documents in latex, and could you provide a brief  has_external_tag  of the class and the situations where it would be recommended? please give only one class per answer.","What are the available ""documentclass"" types and their uses?",25,8,,14.0,2010-08-01 19:57:26,<document-classes><big-list>,,1,1215
54,823,246,59058,"i know that i can use  has_external_tag  to make cross-references and hyperlinks clickable. that makes the clickable areas outlined in fluorescent green, however. how can i make the green  has_external_tag  go away?",Remove ugly borders around clickable cross-references and hyperlinks,7,2,12408.0,35.0,2010-08-02 16:40:12,<hyperref><color><boxes><links>,,1,351
55,826,57,30208,"how can i make latex use  has_external_tag  (*, †, ‡, and so on) instead of numbers to mark  has_external_tag ? (the numbers are confusing because i use superscripted numbers for citations.)",Symbols instead of numbers as footnote markers,5,0,829.0,35.0,2010-08-02 16:45:40,<symbols><numbering><footnotes>,,1,183
56,940,60,8619,tex and latex are widely used in computer science. what other academic disciplines or professionals use it?,What professions use TeX/LaTeX besides CS?,45,5,,356.0,2010-08-03 21:01:37,<latex-project><big-list><tex-general>,,1,120
57,953,76,9848,"i feel as though i have been hearing about the  has_external_tag  project for a very long time. why is it taking so long for it to come into fruition? are there major technical difficulties, or is it purely a lack of developers that is causing a bottleneck?",Why is LaTeX3 taking so long to come out?,4,8,986.0,136.0,2010-08-03 22:41:01,<latex3>,,1,274
58,1013,81,93576,"it's easy to make  has_external_tag  in math mode: $a_i$. how do i make a subscript outside math environment, likethis?",How to typeset subscript in usual text mode?,10,0,,280.0,2010-08-04 13:32:52,<subscripts>,,1,164
59,1050,170,15133,i just spotted someone use \newcommand* in an answer and realised that i'd never quite sorted out in my head what the star (asterisk) was there for. (this one is practically impossible to search for on the internet so this is a good place to record the answer!),What's the difference between \newcommand and \newcommand*?,4,1,1057.0,86.0,2010-08-04 18:11:15,<macros><starred-version>,,1,302
60,1072,55,5568,"there several types of  has_external_tag   has_external_tag . in no particular order .jpeg .eps .pdf .png .tif .jif (and no doubt others). some work with latex,  has_external_tag  and some work with pdflatex. how am i supposed to know which? just to confuse matters,  has_external_tag  produces .eps but i can use these with pdflatex as long as i put in a four line incantation. can anyone explain this?",Which graphics formats can be included in documents processed by latex or pdflatex?,6,2,1075.0,511.0,2010-08-04 20:55:08,<graphics><eps><png><tiff><jpeg>,,1,401
61,1092,120,39387," has_external_tag  and  has_external_tag  have very good  has_external_tag  packaging. but i'd like to use tlmgr to have a more fine-grained control about upgrades and which  has_external_tag  i want to be installed. so how do i install ""vanilla""  has_external_tag  on  has_external_tag / has_external_tag ? also how do i make dpkg aware that i have  has_external_tag  installed? btw:  has_external_tag  &  has_external_tag  have  has_external_tag  2012 now ;-)","How to install ""vanilla"" TeXLive on Debian or Ubuntu?",9,8,1094.0,137.0,2010-08-05 00:25:37,<installing><texlive>,,1,393
62,1118,66,10445,"why would i need to use version control with my latex documents? i know people who do it, and i've seen questions about it on here and on so, but i haven't understood what value there is to doing it... [maybe this should be cw? also, someone >150 rep add some more tags, e.g. version-control]","What are the advantages of using version control (git, CVS etc) in LaTeX documents",12,11,1121.0,215.0,2010-08-05 11:32:27,<revision-control><best-practices>,,1,320
